21153|247768
98050|247188
10282|245556
94027|236912
04575|235192
07078|235172
07976|231667
84018|230446
92145|228587
22066|222674
19437|219228
08248|216484
10518|214688
80755|212708
10577|209350
77010|209063
06883|208078
10514|207733
63073|205169
02468|203009
02493|201200
21738|201004
91980|200325
22027|200179
10504|200000
22039|199605
06820|199444
07311|198790
10527|196300
11568|196250
20854|194043
07931|193450
10162|193238
07934|191563
08858|190417
06870|190208
94957|187857
19066|187788
21029|186796
10506|185372
01467|184107
22101|183738
94022|182750
98039|182308
06376|180511
68517|180439
94028|180174
08550|180120
06903|180072
60043|179922
06840|179810
77580|179667
21794|179432
10505|178333
21737|177696
68362|177596
20184|177500
19035|177208
02481|177083
59062|177031
02030|176250
94506|176241
12429|175703
06897|175597
20124|174233
07021|173800
20861|173750
07979|173596
10069|172926
20690|172885
60022|172539
90077|172443
76092|170975
94105|170656
06890|170500
10576|170278
10583|169583
01776|169505
20817|169147
22182|168970
07458|168868
19373|168750
07028|168352
20615|168103
22207|167594
94024|167546
35649|167500
20816|167475
95070|167386
22308|166827
95140|166750
60029|166667
08558|166250
94563|166147
20148|165956
50102|165714
06878|164816
07046|164773
11724|164375
77005|163802
92657|163486
07043|163458
07842|163256
94507|163219
22124|162946
89411|162778
10804|162674
11030|162500
94528|162328
63005|162174
41421|161563
20777|161071
23064|160509
19085|159000
77094|158398
10580|158281
10538|158258
11797|158023
90272|157938
91210|157879
08502|157583
01741|157500
60521|157212
90274|156250
75225|156173
01772|155952
60604|155750
10536|155658
01770|155564
18977|155156
07452|154615
20015|154444
06092|154276
20838|154167
95030|154107
77401|154053
46290|153682
07417|153657
79033|153625
10510|153613
27956|153594
94074|153269
19425|153203
07423|153125
06807|152750
95120|152721
60045|152658
08535|152481
20818|152422
07310|152355
91011|152210
11576|152031
22213|151477
11765|151406
06390|151333
76034|151169
15142|151083
92861|150864
98314|150729
06880|150469
95007|149821
22205|149703
02815|149583
98075|149557
92679|149538
07945|149375
60184|149286
20197|149201
97329|147981
30327|147852
07641|147788
06877|147614
94037|147568
06831|147500
75022|146865
11753|146707
60093|146696
12527|146406
07092|146389
20882|146299
99516|146285
07627|146200
07853|146181
20841|146065
94708|145610
95138|145505
08246|145192
11791|145146
94129|144886
55424|144783
20862|144688
01740|144461
07059|144233
07649|144222
94539|144152
01773|143897
20152|143821
02056|143682
02052|143641
10280|143636
20171|143205
66224|142750
84623|142679
10502|142679
21035|142596
60564|142508
20833|142486
21042|142449
64167|142250
22181|142156
11545|142107
07974|142107
